Page ascore,Source title,Source url,Target url,Anchor,External links,Internal links,Nofollow,Sponsored,Ugc,Text,Frame,Form,Image,Sitewide,First seen,Last seen,New link,Lost link
3,Innova-Fence-Company,https://greenwoodfence.com/partner/innova-fence/,https://innovafence.com/,Innova Fence,11,45,false,false,false,false,false,false,true,false,2026-03-01,2026-04-16,false,false
3,Innova-Fence-Company,https://greenwoodfence.com/partner/innova-fence/,https://innovafence.com/,Visit Innova Fence,11,45,false,false,false,true,false,false,false,false,2026-03-01,2026-04-16,false,false
1,National and Regional Professional Network | Master Fence,https://masterfencetn.com/network/,https://innovafence.com/,Innova Fence - Northwest Chicago Fence Company,144,52,false,false,false,true,false,false,false,false,2026-02-22,2026-04-25,false,false
1,Backlinks for Columbus Ohio Fence Company | Mills Fence,https://millsfencecolumbus.com/network/,https://innovafence.com/,Innova Fence - Northwest Chicago Fence Company,145,42,false,false,false,true,false,false,false,false,2026-03-11,2026-04-27,false,false
0,Proud Member of the DotCom Partner Network,http://bregmancorp.com/backlinks-details.cfm?ID=274,https://innovafence.com/illinois-fence-company/buffalo-grove-illinois-fence-company/,Buffalo Grove Illinois Fence Company,227,4,false,false,false,true,false,false,false,false,2026-02-27,2026-04-29,false,false
0,Proud Member of the DotCom Partner Network,http://bregmancorp.com/backlinks-details.cfm?ID=274,https://innovafence.com/illinois-fence-company/des-plaines-illinois-fence-company/,Des Plaines Illinois Fence Company,227,4,false,false,false,true,false,false,false,false,2026-02-27,2026-04-29,false,false
0,Proud Member of the DotCom Partner Network,http://bregmancorp.com/backlinks-details.cfm?ID=274,https://innovafence.com/illinois-fence-company/palatine-illinois-fence-company/,Palatine Illinois Fence Company,227,4,false,false,false,true,false,false,false,false,2026-02-27,2026-04-29,false,false
0,Proud Member of the DotCom Partner Network,http://bregmancorp.com/backlinks-details.cfm?ID=274,https://innovafence.com/illinois-fence-company/downers-grove-illinois-fence-company/,Downers Grove Illinois Fence Company,227,4,false,false,false,true,false,false,false,false,2026-02-27,2026-04-29,false,false
0,Proud Member of the DotCom Partner Network,http://bregmancorp.com/backlinks-details.cfm?ID=274,https://innovafence.com/illinois-fence-company/northbrook-illinois-fence-company/,Northbrook Illinois Fence Company,227,4,false,false,false,true,false,false,false,false,2026-02-27,2026-04-29,false,false
0,Proud Member of the DotCom Partner Network,http://bregmancorp.com/backlinks-details.cfm?ID=274,https://innovafence.com/illinois-fence-company/kildeer-illinois-fence-company/,Kildeer Illinois Fence Company,227,4,false,false,false,true,false,false,false,false,2026-02-27,2026-04-29,false,false
