Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
innova fence,1,1,70,25,4.31,https://innovafence.com/,56,23.52,241.00,0.32,1370000,"[1,1,8,10,8,1,8,1,1,8,1,1]",2026-04-23,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",navigational,Organic
vinyl fence installation chicago,6,6,1300,21,0.00,https://innovafence.com/,31,13.02,0.00,0,127,"[4,5,29,13,13,100,22,43,36,29,43,29]",2026-04-11,"Local pack, Video, People also ask, Related searches",commercial,Organic
fence contractors chicago,8,8,880,47,9.73,https://innovafence.com/,16,6.72,155.00,0.03,0,"[10,55,62,62,45,24,55,62,62,100,45,36]",2026-03-11,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Organic
composite fence chicago,7,7,720,5,0.00,https://innovafence.com/fences/composite-fence/,9,3.78,0.00,0,3440000,"[10,20,45,100,36,45,36,62,62,36,24,36]",2026-04-09,"Local pack, Sitelinks, Video, Image, Popular products, Related searches, AI overview",commercial,Organic
aluminum fence chicago,7,7,590,6,0.00,https://innovafence.com/,7,2.94,0.00,0.01,214,"[3,4,20,5,8,30,8,13,100,41,20,7]",2026-03-26,"Local pack, Video, Popular products, Related searches",commercial,Organic
aluminum fences chicago,6,6,390,24,0.00,https://innovafence.com/fences/aluminum-fence/,7,2.94,0.00,0.01,1160000,"[3,7,44,19,10,54,54,100,81,44,44,36]",2026-04-10,"Local pack, Sitelinks, Video, Popular products, Related searches",commercial,Organic
fence installation lincolnwood il,1,1,110,5,0.00,https://innovafence.com/,7,2.94,0.00,0,261000,"[4,14,4,4,14,14,100,80,52,80,100,100]",2026-04-20,"Local pack, Video, Image, Related searches",commercial,Local pack
aluminum fences barrington,2,2,50,0,0.00,https://innovafence.com/illinois-fence-company/barrington-illinois-fence-company/,6,2.52,0.00,0,0,"[4,0,4,4,4,4,33,100,33,33,33,23]",2026-03-12,"Local pack, Sitelinks, Video, Popular products, Related searches",commercial,Organic
chicago area fence companies,16,16,3600,47,9.73,https://innovafence.com/,5,2.1,48.00,0.03,11100,"[1,1,0,23,19,81,1,13,81,100,36,13]",2026-04-23,"Local pack, Sitelinks, Image, People also ask, Related searches",commercial,Organic
barrington il fencing contractor,2,2,40,0,0.00,https://innovafence.com/illinois-fence-company/barrington-illinois-fence-company/,5,2.1,0.00,0,0,"[28,0,14,14,14,28,100,100,100,100,71,71]",2026-03-12,"Local pack, Video, Image",commercial,Organic
