Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
painter near me,1,1,22200,48,13.12,https://paintersinc.net/blog/signs-of-bad-interior-exterior-paint-job/,333,7.09,4368.00,0.35,2030000000,"[36,20,29,24,24,24,44,44,100,36,54,66]",2026-04-23,"Local pack, Video, Image, People also ask, Related searches",transactional,People also ask
interior painting cost calculator,1,1,1900,10,2.49,https://paintersinc.net/painting-cost-calculator/,250,5.32,622.00,0.05,117,"[11,82,100,65,82,82,65,65,34,34,30,65]",2026-04-24,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
warehouse painting,1,1,1000,8,2.34,https://paintersinc.net/,248,5.28,580.00,0.11,205,"[25,25,31,25,31,25,84,100,84,100,84,84]",2026-04-02,"Local pack, Image pack, Video, Popular products, Related searches, AI overview",informational,Local pack
local painters,1,1,12100,54,12.77,https://paintersinc.net/blog/signs-of-bad-interior-exterior-paint-job/,181,3.85,2311.00,0.2,44800000,"[29,44,54,44,54,66,81,81,66,100,100,100]",2026-04-23,"Local pack, Video, Ads bottom, People also ask, Related searches",commercial,People also ask
interior painting cost calculator,1,1,1900,10,2.49,https://paintersinc.net/painting-cost-calculator/,115,2.45,286.00,0.05,117,"[11,82,100,65,82,82,65,65,34,34,30,65]",2026-04-24,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,AI overview
warehouse line marking,1,1,1000,9,2.43,https://paintersinc.net/blog/warehouse-safety-line-painting-guide-and-osha-floor-marking-standards/,82,1.74,199.00,0.99,28300000,"[45,45,62,55,55,62,81,100,45,100,100,100]",2026-04-13,"Image pack, Sitelinks, Video, Ads top, Video Carousel, Popular products, Related searches, Ads middle, AI overview",informational,Image pack
paint cost calculator,3,3,1000,36,2.10,https://paintersinc.net/painting-cost-calculator/,82,1.74,172.00,0.24,105000000,"[80,44,27,36,24,52,20,27,10,13,10,5]",2026-04-19,"Video, Related searches",commercial,Organic
benjamin moore vs sherwin williams,2,2,2400,4,0.01,https://paintersinc.net/blog/best-paint-brands-benjamin-moore-vs-sherwin-williams/,78,1.66,0.00,0.03,8970000,"[82,82,82,82,82,65,65,100,65,55,65,55]",2026-04-29,"Sitelinks, Video, People also ask, Related searches, AI overview","commercial, informational",People also ask
commercial painting contractors near me,1,0,4400,50,14.71,https://paintersinc.net/commercial-painting-cost/,77,1.64,1132.00,0.04,22500000,"[8,44,100,19,23,23,44,54,36,29,36,29]",2026-04-29,"Local pack, Sitelinks, Video, People also ask, Related searches, Ads middle",transactional,People also ask
painting price calculator,2,2,590,16,2.10,https://paintersinc.net/painting-cost-calculator/,77,1.64,161.00,0.24,50400000,"[100,8,66,2,36,16,13,30,5,5,13,3]",2026-04-14,"Video, Video Carousel, Related searches",transactional,Organic
