Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
chicago area fence companies,2,2,4400,34,6.35,https://www.floresfencecompany.com/,193,10.56,1225.00,0.35,110,"23, 19, 81, 1, 13, 81, 100, 36, 13, 10, 13, 8",2026-06-03,"Local pack, Video, People also ask",commercial,Organic
flores fence,1,1,210,46,2.07,https://www.floresfencecompany.com/,168,9.19,347.00,0.1,12000000,"22, 43, 66, 66, 66, 54, 43, 43, 35, 29, 29, 18",2026-04-21,"Local pack, Sitelinks, Video, Related searches",navigational,Organic
chicagoland fence,1,1,1900,32,5.30,https://www.floresfencecompany.com/,155,8.48,821.00,0.28,125,"7, 13, 54, 2, 5, 100, 81, 28, 13, 15, 10, 7",2026-06-03,"Local pack, Video, People also ask, Related searches",commercial,Local pack
flores fence inc,1,1,140,33,2.07,https://www.floresfencecompany.com/,112,6.13,231.00,0.1,2180000,"66, 80, 100, 80, 80, 80, 100, 52, 52, 80, 52, 33",2026-05-14,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
fence company near me,20,20,74000,46,6.31,https://www.floresfencecompany.com/,111,6.07,700.00,0.81,325000000,"44, 44, 36, 54, 54, 44, 44, 36, 36, 30, 30, 44",2026-06-02,"Local pack, Video, People also ask, Related searches, AI overview",transactional,Organic
chicagoland fence,2,2,1900,32,5.30,https://www.floresfencecompany.com/,83,4.54,439.00,0.28,125,"7, 13, 54, 2, 5, 100, 81, 28, 13, 15, 10, 7",2026-06-03,"Local pack, Video, People also ask, Related searches",commercial,Organic
fences chicago area,2,2,1900,35,5.30,https://www.floresfencecompany.com/,66,3.61,349.00,0.28,115,"7, 13, 54, 1, 5, 100, 81, 28, 1, 15, 10, 7",2026-06-03,"Local pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",commercial,Organic
fences chicago area,1,1,1900,35,5.30,https://www.floresfencecompany.com/,65,3.55,344.00,0.28,115,"7, 13, 54, 1, 5, 100, 81, 28, 1, 15, 10, 7",2026-06-03,"Local pack, Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",commercial,AI overview
chicago fence contractors,1,1,480,21,0.00,https://www.floresfencecompany.com/,63,3.44,0.00,0.01,4140000,"3, 8, 8, 10, 10, 76, 24, 67, 100, 55, 36, 30",2026-05-08,"Local pack, Video, Image, People also ask, Related searches",commercial,Local pack
fence company chicago,1,1,880,48,6.35,https://www.floresfencecompany.com/,57,3.11,361.00,0.35,115,"16, 20, 24, 36, 54, 41, 100, 20, 20, 54, 24, 30",2026-05-31,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
fence builders chicago,1,1,720,47,9.73,https://www.floresfencecompany.com/,46,2.51,447.00,0.03,3430000,"16, 81, 81, 36, 100, 36, 24, 36, 36, 20, 30, 24",2026-04-14,"Local pack, Video, People also ask, Related searches",commercial,Organic
